MLS#,Address,City,State,ZIP,Price,Beds,Baths,SqFt,YearBuilt,DaysOnMarket,PropertyType,Status,ListAgent,Brokerage
7308,4.1 Acres Bristol Drive,Fort Worth,TX,76109,$385000,0,0,178506,0,81,Land,Active,David Lee,Engel & Völkers
7309,9 Acres Westridge Drive,Fort Worth,TX,76110,$625000,0,0,391860,0,65,Land,Active,Amanda Johnson,Allie Beth Allman
7310,2 Acres Overton Ridge Drive,Fort Worth,TX,76116,$145000,0,0,87120,0,112,Land,Active,Mark Garcia,Compass
7401,5000 Camp Bowie Boulevard,Fort Worth,TX,76107,$1850000,0,0,15000,1995,128,Commercial,Active,Sarah Martinez,CBRE
7402,4200 South Freeway,Fort Worth,TX,76105,$2450000,0,0,22000,2001,115,Commercial,Active,James Wilson,Coldwell Banker
7403,3800 East Lancaster Avenue,Fort Worth,TX,76103,$1650000,0,0,18500,1998,142,Commercial,Active,Michelle Lee,RE/MAX
7404,7500 Camp Bowie Boulevard,Fort Worth,TX,76116,$3200000,0,0,28000,2006,95,Commercial,Active,Robert Garcia,Compass
7405,2100 Highway 287,Fort Worth,TX,76112,$1200000,0,0,12000,1999,155,Commercial,Active,Patricia Brown,Sotheby's
7406,6500 West Freeway,Fort Worth,TX,76110,$2750000,0,0,25000,2003,108,Commercial,Active,David Johnson,Keller Williams
7407,1500 East Abram Street,Fort Worth,TX,76010,$950000,0,0,10500,1997,168,Commercial,Active,Lisa Anderson,ERA
7408,8900 North Freeway,Fort Worth,TX,76108,$3500000,0,0,31000,2008,85,Commercial,Active,Michael Chen,Redfin
7409,4100 South Main Street,Fort Worth,TX,76109,$1750000,0,0,16500,2000,135,Commercial,Active,Jennifer White,Century 21
7410,6800 East Freeway,Fort Worth,TX,76119,$2900000,0,0,26500,2004,102,Commercial,Active,Christopher Moore,HomeSmart
7501,50 Acres Richardson Road,Fort Worth,TX,76107,$485000,0,0,2178000,0,145,Land,Active,Patricia Lee,RE/MAX
7502,35 Acres Highway 287,Fort Worth,TX,76114,$625000,0,0,1523400,0,128,Land,Active,Robert Johnson,Keller Williams
7503,42 Acres West Freeway,Fort Worth,TX,76112,$795000,0,0,1829520,0,115,Land,Active,Jennifer Wong,Coldwell Banker
7504,25 Acres South Freeway,Fort Worth,TX,76119,$425000,0,0,1089000,0,152,Land,Active,James Garcia,Compass
7505,60 Acres Highway 67,Fort Worth,TX,76105,$875000,0,0,2611200,0,98,Land,Active,Susan Martinez,ERA
7601,8 Units Meadowbrook Drive,Fort Worth,TX,76103,$580000,16,12,9600,2000,58,Multi Family,Active,Michael Brown,Redfin
7602,6 Units Heritage Drive,Fort Worth,TX,76116,$420000,12,10,7200,1998,72,Multi Family,Active,Lisa White,HomeSmart
7603,10 Units Park Hill Avenue,Fort Worth,TX,76109,$685000,20,15,10500,2003,44,Multi Family,Active,David Lee,Engel & Völkers
7604,4 Units Spring Valley Drive,Fort Worth,TX,76119,$285000,8,7,4800,1996,81,Multi Family,Active,Amanda Johnson,Allie Beth Allman
7605,7 Units Vista Drive,Fort Worth,TX,76132,$515000,14,11,8400,2001,61,Multi Family,Active,Mark Garcia,Compass
7606,9 Units Shady Lane,Fort Worth,TX,76105,$625000,18,14,9200,2002,49,Multi Family,Active,Sarah Martinez,RE/MAX
7607,5 Units Bristol Drive,Fort Worth,TX,76109,$375000,10,9,6000,1999,68,Multi Family,Active,James Wilson,Keller Williams
7608,12 Units Westridge Drive,Fort Worth,TX,76110,$745000,24,18,12000,2005,38,Multi Family,Active,Michelle Lee,Coldwell Banker
7609,6 Units Forest Hill Drive,Fort Worth,TX,76116,$480000,12,10,7500,2000,54,Multi Family,Active,Robert Garcia,Compass
7610,8 Units Bellaire Drive,Fort Worth,TX,76109,$595000,16,13,8800,2003,47,Multi Family,Active,Patricia Brown,Sotheby's
7701,3 Bed Townhouse Arlington Road,Fort Worth,TX,76010,$245000,3,2.5,1600,2001,35,Townhouse,Active,David Johnson,RE/MAX
7702,3 Bed Townhouse Riverside Drive,Fort Worth,TX,76103,$265000,3,2.5,1700,2002,42,Townhouse,Active,Lisa Anderson,Keller Williams
7703,4 Bed Townhouse Samuels Avenue,Fort Worth,TX,76109,$315000,4,3,2000,2004,28,Townhouse,Active,Michael Chen,Coldwell Banker
7704,2 Bed Townhouse Park Lane,Fort Worth,TX,76110,$185000,2,2,1100,1999,58,Townhouse,Active,Jennifer White,Compass
7705,3 Bed Townhouse Main Street,Fort Worth,TX,76105,$275000,3,2.5,1750,2003,38,Townhouse,Active,Christopher Moore,ERA
7706,4 Bed Townhouse Berry Street,Fort Worth,TX,76119,$345000,4,3,2150,2005,22,Townhouse,Active,Amanda Torres,Redfin
7707,2 Bed Townhouse Summit Avenue,Fort Worth,TX,76116,$195000,2,2,1150,2000,62,Townhouse,Active,Kevin Martinez,HomeSmart
7708,3 Bed Townhouse Lincoln Avenue,Fort Worth,TX,76109,$295000,3,2.5,1800,2002,45,Townhouse,Active,Susan Blake,Engel & Völkers
7709,4 Bed Townhouse Evans Avenue,Fort Worth,TX,76132,$365000,4,3,2250,2006,19,Townhouse,Active,Thomas White,Allie Beth Allman
7710,3 Bed Townhouse Station Street,Fort Worth,TX,76103,$255000,3,2.5,1650,2001,51,Townhouse,Active,Rachel Green,Compass
